,0
0,0.14580473
1,0.20697528
2,0.12771489
3,0.0808566
4,0.05419786
5,0.24851567
6,0.068428405
7,0.10103978
8,0.06602036
9,0.067444354
10,0.06782622
11,0.22181399
12,0.03014591
13,0.16760741
14,0.06574368
15,0.103866495
16,0.07893236
17,0.11017657
18,0.01118128
19,0.108323194
20,0.010095876
21,0.15533671
22,0.119099945
23,0.077702135
24,0.09539752
25,0.06349118
26,0.12789096
27,0.09962216
28,0.090425804
29,0.1761831
30,0.2030184
31,0.26228946
32,0.14030838
33,0.079075694
34,0.12853025
35,0.069767326
36,0.14368482
37,0.13605854
38,0.061608817
39,0.12739119
40,0.15481627
41,0.061381966
42,0.19893059
43,0.12053007
44,0.05327358
45,0.054480493
46,0.07582011
47,0.14057243
48,0.05835428
49,0.06562514
50,0.105589665
51,0.14879382
52,0.08762917
53,0.062495407
54,0.112761915
55,0.05902312
56,0.052379794
57,0.1711795
58,0.38784477
59,0.07763085
60,0.22953638
61,0.02660466
62,0.07689916
63,0.06336882
64,0.09455176
65,0.10700922
66,0.13108595
67,0.16744345
68,0.119972676
69,0.033662938
70,0.07817416
71,0.0675624
72,0.09828015
73,0.15480785
74,0.09818432
75,0.058459416
76,0.06903909
77,0.059666213
78,0.075718954
79,0.038040258
80,0.2644672
81,0.12332976
82,0.068907246
83,0.050458435
84,0.101007484
85,0.032112177
86,0.018306494
87,0.55681086
88,0.06432794
89,0.11854854
90,0.17673333
91,0.33585042
92,0.07651539
93,0.06793493
94,0.121348865
95,0.12650071
96,0.09477505
97,0.10725087
98,0.107633606
99,0.0074959523
100,0.13443592
101,0.28365487
102,0.059036113
103,0.0438243
104,0.08643197
105,0.09973162
106,0.06074729
107,0.052528374
108,0.07605488
109,0.208651
110,0.08392947
111,0.15994361
112,0.022600563
113,0.061339445
114,0.03672794
115,0.07511845
116,0.06633796
117,0.05936563
118,0.061160922
119,0.13136138
120,0.17262197
121,0.04767014
122,0.07116364
123,0.06934272
124,0.098907575
125,0.008675108
126,0.06042946
127,0.105932206
128,0.02362495
129,0.08532472
130,0.047005508
131,0.06297035
132,0.13376057
133,0.062072553
134,0.10717703
135,0.1220551
136,0.127864
137,0.00028147525
138,0.026444882
139,0.056623455
140,0.04251408
141,0.16474316
142,0.101499006
143,0.054670706
144,0.043851774
145,0.13533068
146,0.101852775
147,0.16263418
148,0.31046712
149,0.05549623
150,0.05895232
151,0.09189126
152,0.13141085
153,0.073289946
154,0.06531391
155,0.083834484
156,0.12800495
157,0.065874025
158,0.1067171
159,0.1021825
160,0.20211047
161,0.07633627
162,0.11503643
163,0.06595579
164,0.077306785
165,0.12161948
166,0.1407089
167,0.061231166
168,0.059882924
169,0.08571241
170,0.13264734
171,0.10948725
172,0.06021198
173,0.07175833
174,0.21251588
175,0.06465748
176,0.077514336
177,0.054961927
178,0.07185188
179,0.06446556
180,0.06582498
181,0.05179096
182,0.093288764
183,0.11045863
184,0.072138235
185,0.14875533
186,0.079979055
187,0.12849945
188,0.06635346
189,0.016881451
190,0.12494107
191,0.13919435
192,0.2507879
193,0.061563134
194,0.128501
195,0.06018941
196,0.17509532
197,0.053974688
198,0.04843476
199,0.08001886
200,0.06076306
201,0.032744914
202,0.06350437
203,0.07142196
204,0.03649532
205,0.07085144
206,0.05851361
207,0.07633321
208,0.012954184
209,0.11155845
210,0.12056781
211,0.10161285
212,0.019250017
213,0.14210448
214,0.18660456
215,0.09738238
216,0.052541953
217,0.07267265
218,0.09285907
219,0.15341473
220,0.096705385
221,0.056608737
222,0.13107654
223,0.07623468
224,0.06419522
225,0.11209003
226,0.10042319
227,0.057415463
228,0.08899718
229,0.061793797
230,0.09761985
231,0.061035275
232,0.20758662
233,0.15878688
234,0.08665935
235,0.060103193
236,0.113646604
237,0.11718528
238,0.11328295
239,0.059243716
240,0.10782927
241,0.067669585
242,0.089660406
243,0.11501539
244,0.05325466
245,0.05012194
246,0.06129392
247,0.024058316
248,0.12653913
249,0.045611307
250,0.02637498
251,0.16638789
252,0.11262088
253,0.111555725
254,0.1495656
255,0.07707451
256,0.18077162
257,0.05866339
258,0.2453548
259,0.06475927
260,0.17522885
261,0.18884605
262,0.14328144
263,0.11076151
264,0.06439805
265,0.148871
266,0.048899226
267,0.26639163
268,0.07058264
269,0.1063292
270,0.10235453
271,0.17558336
272,0.10760059
273,0.21323273
274,0.06325916
275,0.14230278
276,0.13236332
277,0.2683458
278,0.10119425
279,0.12761454
280,0.21254398
281,0.010285621
282,0.20330516
283,0.05957796
284,0.012848305
285,0.06525268
286,0.008138919
287,0.034880415
288,0.26593983
289,0.077920675
290,0.10310588
291,0.05534914
292,0.18887402
293,0.17115483
294,0.30074862
295,0.0038553684
296,0.19764292
297,0.08721982
298,0.112961754
299,0.058613617
300,0.0640163
301,0.009929359
302,0.067489795
303,0.1762056
304,0.051370274
305,0.0468869
306,0.15433073
307,0.06657769
308,0.119180866
309,0.06574686
310,0.016342688
311,0.11478469
312,0.16399522
313,0.104208134
314,0.16335168
315,0.30880433
316,0.032720182
317,0.2034637
318,0.114471525
319,0.095551714
320,0.06449601
321,0.053529724
322,0.074262045
323,0.094277084
324,0.11191928
325,0.07261792
326,0.049621426
327,0.08397754
328,0.063105635
329,0.08147245
330,0.0027255944
331,0.051463474
332,0.01711475
333,0.059389584
334,0.1104593
335,0.049763773
336,0.068090394
337,0.08540085
338,0.073891416
339,0.040585615
340,0.07317224
341,0.05932371
342,0.0054811724
343,0.050259717
344,0.15001203
345,0.10324341
346,0.06300083
347,0.1112314
348,0.01617508
349,0.037435822
350,0.06928255
351,0.012412874
352,0.031941157
353,0.07144825
354,0.0873667
355,0.06955816
356,0.4480793
357,0.104067795
358,0.06438826
359,0.081189804
360,0.061205983
361,0.0041165752
362,0.16425012
363,0.05205443
364,0.033113346
365,0.1353899
366,0.13174757
367,0.074939124
368,0.13433085
369,0.031737544
370,0.18150462
371,0.04864244
372,0.054995686
373,0.18199377
374,0.055982675
375,0.07454954
376,0.17460449
377,0.07270328
378,0.055749662
379,0.054250855
380,0.069872215
381,0.025651755
382,0.24770361
383,0.122103795
384,0.14221527
385,0.06968009
386,0.26852012
387,0.031645223
388,0.06639592
389,0.100537404
390,0.0706756
391,0.07858686
392,0.061217386
393,0.19181058
394,0.050456353
395,0.12176815
396,0.079979986
397,0.19013812
398,0.17300592
399,0.07508682
400,0.10603516
401,0.23749393
402,0.27566066
403,0.1075868
404,0.07623287
405,0.08853197
406,0.031713292
407,0.06313483
408,0.08533312
409,0.061896395
410,0.073693424
411,0.05629558
412,0.06290214
413,0.05157092
414,0.16538943
415,0.08694289
416,0.03620925
417,0.3567317
418,0.14851753
419,0.13686833
420,0.061335467
421,0.14828598
422,0.04805749
423,0.04765684
424,0.18341708
425,0.07139711
426,0.06648049
427,0.06766449
428,0.15050757
429,0.19179738
430,0.06759502
431,0.108664505
432,0.06892079
433,0.06317535
434,0.07186584
435,0.21481347
436,0.057108447
437,0.11047592
438,0.11733787
439,0.101388305
440,0.12182258
441,0.064935
442,0.043714337
443,0.06369057
444,0.064824425
445,0.070304364
446,0.15330026
447,0.06054294
448,0.074095756
449,0.03411915
450,0.13148357
451,0.15143277
452,0.059959695
453,0.019875333
454,0.059881363
455,0.06304791
456,0.052627597
457,0.08837169
458,0.108811505
459,0.05123874
460,0.121270254
461,0.19672188
462,0.08762943
463,0.072412625
464,0.06025189
465,0.12261731
466,0.13274036
467,0.055521652
468,0.10728224
469,0.06881446
470,0.07028891
